xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
115.0,14.0,235.0,26.0,0S-O3-1S94       09:39,other,SPACE       ORDER       NO.       10PK-GAMED       -12       MAGAZINE          Data       06/11/93       PAGE       1          Advartlaar       PHILIP       MORRIS       INC          Contract       Year       09/01/93       THRU       C8/31/S4          Discount       Laval          Last       tflsney       commlsalon       15.CO%on       you          Cash       dlaoount       2.00%       on       nat          10       DAYS,159.0,3,2127532304       \R_       PROPERTIES       INT'L          gjk       LEO       BURNETT       U.8A          API       *       ovvxm       o*       lq       hjuctt       commny.       wt          ™P       ADVERTISING          26       WEST       WACKEJl       CTIVR.       CHICAGO.       !LLI>0(8       80641       •       3'J-220-686»,265.5,2,159.0,265.5
735.0,12.0,788.0,20.0,—.       a<z/       as,other,MAIL       INVOICE       TO:       Accounting       Oapartmont-Saotlon       a          PRODUCT       NOTES       VENDOR       COST,289.0,6,,0.0,-1,-1.0,0.0
269.0,10.0,612.0,87.0,2127532304       \R_       PROPERTIES       INT'L          gjk       LEO       BURNETT       U.8A          API       *       ovvxm       o*       lq       hjuctt       commny.       wt          ™P       ADVERTISING          26       WEST       WACKEJl       CTIVR.       CHICAGO.       !LLI>0(8       80641       •       3'J-220-686»,supplier,To       tha       publlahar       of:          GAME       DAY       MAGAZINE          MR.       GERALD       GERARDIELLO          NATIONAL       SALES       MANAGER          NATIONAL       FOOTBALL       LEAGUE          410       PARK       AVENUE          NEW       YORK       NY       10022,113.0,4,—.       a<z/       as,321.0,1,113.0,321.0
92.0,113.0,436.0,245.0,SPACE       ORDER       NO.       10PK-GAMED       -12       MAGAZINE          Data       06/11/93       PAGE       1          Advartlaar       PHILIP       MORRIS       INC          Contract       Year       09/01/93       THRU       C8/31/S4          Discount       Laval          Last       tflsney       commlsalon       15.CO%on       you          Cash       dlaoount       2.00%       on       nat          10       DAYS,other,DATE       SPACE/CCLOR/BLEED,144.5,5,To       tha       publlahar       of:          GAME       DAY       MAGAZINE          MR.       GERALD       GERARDIELLO          NATIONAL       SALES       MANAGER          NATIONAL       FOOTBALL       LEAGUE          410       PARK       AVENUE          NEW       YORK       NY       10022,317.0,4,144.5,317.0
466.0,111.0,696.0,212.0,To       tha       publlahar       of:          GAME       DAY       MAGAZINE          MR.       GERALD       GERARDIELLO          NATIONAL       SALES       MANAGER          NATIONAL       FOOTBALL       LEAGUE          410       PARK       AVENUE          NEW       YORK       NY       10022,receiver,MAIL       INVOICE       TO:       Accounting       Oapartmont-Saotlon       a          PRODUCT       NOTES       VENDOR       COST,143.5,6,,0.0,-1,143.5,0.0
160.0,316.0,358.0,331.0,DATE       SPACE/CCLOR/BLEED,positions,"SEP       93       10       SACK       COVER       4/C       BLEED       10-MARLB0R0       01       161,840.00          POS/ED:       1993       SEASON          NOTE-01*       GAME       DAY       PACKAGE       INCLUDESl          OPFICIAL       NFL       SUPERSOWL       XXVI2I          GAME       DAY       FRCGRAK       BACK       COVER.          HAWAII       PRO       BOWL       GAMS       DAY       PROGRAM          SACK       COVER.          TEAM       NFL       BACK       COVER",128.5,7,MAIL       INVOICE       TO:       Accounting       Oapartmont-Saotlon       a          PRODUCT       NOTES       VENDOR       COST,372.0,6,128.5,372.0
437.0,283.0,825.0,327.0,MAIL       INVOICE       TO:       Accounting       Oapartmont-Saotlon       a          PRODUCT       NOTES       VENDOR       COST,other,"SEP       93       10       SACK       COVER       4/C       BLEED       10-MARLB0R0       01       161,840.00          POS/ED:       1993       SEASON          NOTE-01*       GAME       DAY       PACKAGE       INCLUDESl          OPFICIAL       NFL       SUPERSOWL       XXVI2I          GAME       DAY       FRCGRAK       BACK       COVER.          HAWAII       PRO       BOWL       GAMS       DAY       PROGRAM          SACK       COVER.          TEAM       NFL       BACK       COVER",147.0,7,,0.0,-1,-1.0,0.0
144.0,385.0,731.0,519.0,"SEP       93       10       SACK       COVER       4/C       BLEED       10-MARLB0R0       01       161,840.00          POS/ED:       1993       SEASON          NOTE-01*       GAME       DAY       PACKAGE       INCLUDESl          OPFICIAL       NFL       SUPERSOWL       XXVI2I          GAME       DAY       FRCGRAK       BACK       COVER.          HAWAII       PRO       BOWL       GAMS       DAY       PROGRAM          SACK       COVER.          TEAM       NFL       BACK       COVER",positions,"CDZZZJ.'UVJl          ""PUF-.ur.rr       t:>       r-'/s       ’       '          r.       iur       •       •'       ""       ""       •       •          cvf       ••       ••       ••-•••       •       ••       •       •       •       •          v*.       r-       :       •       •       •       •",255.5,10,,0.0,-1,255.5,0.0
100.0,749.0,417.0,786.0,PLEASE       SIGN       AND       RETURN       THE       ATTACHED       DUPLICATE          THU       l»ACt       0*Dt«       II       tUIJCCT       TO       III       CCHOTrTlONt       HCMON       AHO       THE       AAAA          eoaomoia       co»*aicht       mi.,other,"THU       I*ACt       0»3tA       It       IUB.ICT       TO       THI       ALIlltMIVI       MMUIf«T.TC«l       THAT          AATI8.       mCalOiftO       OlfCO-HTi.       |TC,       Am       W       C0**0*MtTV       WfTM       AWV       QOVtM*          yinTALiV       M»oit3       Mi«       Hum       on       moulationi       m       imict       s-**g       tni       tun          >1       I       r       aCC       onotn,       AXr.^DI       ft       UAZt       ct       A*r       M       CCI       CHAMID       wh<h          •       I       «       U!fll       zt       f-I       A.;0»Ali!       MTf.       CTC",48.5,9,".       ••       •       -          A       v•*##•*•       •       •       •       •          ALL       .       ...       V       ■■       iV.CL       .-V       —*       if       uOi       LL       I'CUYWfMC          UPPu..i«       "">»■<       OiH*-..       **.0       r..aw       AU.",381.0,12,48.5,-1.0
101.0,793.0,434.0,839.0,"THU       I*ACt       0»3tA       It       IUB.ICT       TO       THI       ALIlltMIVI       MMUIf«T.TC«l       THAT          AATI8.       mCalOiftO       OlfCO-HTi.       |TC,       Am       W       C0**0*MtTV       WfTM       AWV       QOVtM*          yinTALiV       M»oit3       Mi«       Hum       on       moulationi       m       imict       s-**g       tni       tun          >1       I       r       aCC       onotn,       AXr.^DI       ft       UAZt       ct       A*r       M       CCI       CHAMID       wh<h          •       I       «       U!fll       zt       f-I       A.;0»Ali!       MTf.       CTC",other,LEO       BURNETT       U.S.Ap          ORIGINAL,100.0,14,".       ••       •       -          A       v•*##•*•       •       •       •       •          ALL       .       ...       V       ■■       iV.CL       .-V       —*       if       uOi       LL       I'CUYWfMC          UPPu..i«       "">»■<       OiH*-..       **.0       r..aw       AU.",372.0,12,100.0,372.0
