xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
36.0,189.0,45.0,261.0,OH       O       r       O       CA,other,DATE       SHIPPED          03/29/96,62.5,11,"RICK       I       SHAM          D.L.       BLAIR       COMPANY          1548       FRONT       STREET          BLAIR,       NE       68008",126.0,9,62.5,126.0
144.0,109.0,394.0,127.0,INFORMATION       SYSTEMS,supplier,8939       J       STREET       OMAHA.       NE       68127       ‘          (402)       339-6111       WATS       800-248-1522       FAX       (402)       339-0829,29.0,2,Dfwojce,285.0,7,29.0,285.0
76.0,134.0,360.0,160.0,8939       J       STREET       OMAHA.       NE       68127       ‘          (402)       339-6111       WATS       800-248-1522       FAX       (402)       339-0829,supplier,"RICK       I       SHAM          D.L.       BLAIR       COMPANY          1548       FRONT       STREET          BLAIR,       NE       68008",64.5,9,Dfwojce,336.0,7,64.5,-1.0
431.0,74.0,481.0,109.0,PAG*       NO          1,invoice_info,Dfwojce,37.5,7,07035,58.5,4,37.5,58.5
481.0,74.0,548.0,109.0,07035,invoice_info,Dfwojce,37.5,7,I.WOC6       DATE          03/29/96i,123.0,5,37.5,123.0
598.0,74.0,677.0,109.0,I.WOC6       DATE          03/29/96i,invoice_info,Dfwojce,37.5,7,GUST.       NC          52014,62.0,6,37.5,62.0
677.0,74.0,722.0,109.0,GUST.       NC          52014,invoice_info,Dfwojce,37.5,7,,0.0,-1,37.5,0.0
431.0,109.0,677.0,149.0,Dfwojce,invoice_info,"s       RICK       ISHAM          h       D.L.       BLAIR       COMPANY          '       1548       FRONT       STREET          BLAIR,       NE       68008          T          O",95.0,10,ao,145.5,8,95.0,145.5
677.0,109.0,722.0,149.0,ao,invoice_info,TERMS          NET       20,158.5,15,,0.0,-1,158.5,0.0
89.0,184.0,244.0,239.0,"RICK       I       SHAM          D.L.       BLAIR       COMPANY          1548       FRONT       STREET          BLAIR,       NE       68008",receiver,DATE       SHIPPED          03/29/96,76.0,11,"s       RICK       ISHAM          h       D.L.       BLAIR       COMPANY          '       1548       FRONT       STREET          BLAIR,       NE       68008          T          O",324.0,10,-1.0,324.0
404.0,186.0,577.0,262.0,"s       RICK       ISHAM          h       D.L.       BLAIR       COMPANY          '       1548       FRONT       STREET          BLAIR,       NE       68008          T          O",receiver,SHIPPED       VIA          CUSTOMER       PICKUP,63.5,13,,0.0,-1,63.5,0.0
34.0,267.0,122.0,308.0,DATE       SHIPPED          03/29/96,invoice_info,BUYER,40.0,16,OUST.       P.O.,112.0,12,40.0,112.0
122.0,267.0,258.0,308.0,OUST.       P.O.,invoice_info,BUYER,40.0,16,SHIPPED       VIA          CUSTOMER       PICKUP,155.5,13,40.0,155.5
258.0,267.0,433.0,308.0,SHIPPED       VIA          CUSTOMER       PICKUP,invoice_info,OATf       flcouesrto          03/29/96,40.0,17,p.o.a          OMAHA,167.5,14,40.0,167.5
433.0,267.0,593.0,308.0,p.o.a          OMAHA,invoice_info,SALESPERSON          BOBBI       SWEDLUND,40.0,19,TERMS          NET       20,145.0,15,40.0,145.0
593.0,267.0,723.0,308.0,TERMS          NET       20,invoice_info,SALESPERSON          BOBBI       SWEDLUND,40.0,19,,0.0,-1,40.0,0.0
34.0,308.0,180.0,347.0,BUYER,invoice_info,DESCRIPTION,22.5,22,OATf       flcouesrto          03/29/96,112.0,17,22.5,112.0
180.0,308.0,258.0,347.0,OATf       flcouesrto          03/29/96,invoice_info,DESCRIPTION,22.5,22,LOCATION          00001,73.0,18,22.5,-1.0
258.0,308.0,326.0,347.0,LOCATION          00001,invoice_info,DESCRIPTION,22.5,22,QUANTITY,134.0,23,22.5,134.0
326.0,308.0,593.0,347.0,SALESPERSON          BOBBI       SWEDLUND,invoice_info,DESCRIPTION,22.5,22,TERRITORY          SURROUNDING       OM,198.5,20,22.5,-1.0
593.0,308.0,723.0,347.0,TERRITORY          SURROUNDING       OM,invoice_info,UNIT       PRirP,22.5,25,,0.0,-1,22.5,0.0
44.0,343.0,148.0,368.0,ITEM       NO.,positions,FIOCISSIHG       21       S',22.0,29,BUYER,11.0,16,22.0,11.0
148.0,343.0,366.0,357.0,DESCRIPTION,positions,ITEM       NO.,5.5,21,LOCATION          00001,35.0,18,5.5,35.0
366.0,343.0,486.0,357.0,QUANTITY,positions,opocaco       |axc*       c*oerco,12.5,27,SALESPERSON          BOBBI       SWEDLUND,33.5,19,12.5,33.5
486.0,343.0,553.0,357.0,?,positions,opocaco       |axc*       c*oerco,12.5,27,UNIT       PRirP,72.0,25,12.5,72.0
553.0,343.0,630.0,357.0,UNIT       PRirP,positions,SHIPPED       {,12.5,28,TERRITORY          SURROUNDING       OM,66.5,20,12.5,66.5
630.0,343.0,713.0,357.0,FYTFN^ION,positions,5.25       J,27.5,33,,0.0,-1,27.5,0.0
366.0,357.0,486.0,368.0,opocaco       |axc*       c*oerco,positions,HU       I       21       i*       riLM       PtOCISSSD,15.0,30,SHIPPED       {,93.5,28,15.0,93.5
