xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
74.0,194.0,384.0,238.0,"to:       The       Council       for       Tobacco       Research       -       USA,       Inc.          900       Third       Avenue          New       York,       New       York       10022",receiver,YOUAneF-       Mr.       R.F.       Gertenbach       -       Special       Project       #134,110.0,3,ACVA       ATLANTIC       INC.          Toe       Mosby       Bu**ng          Suite       406          10560       Main       Street          Fairfax          Virginia       22030          (703)       352-0102,368.5,1,110.0,368.5
533.0,119.0,662.0,215.0,ACVA       ATLANTIC       INC.          Toe       Mosby       Bu**ng          Suite       406          10560       Main       Street          Fairfax          Virginia       22030          (703)       352-0102,supplier,INVOICE       NO.:       476          DATE:       26       Nov       85,110.0,2,,0.0,-1,110.0,0.0
491.0,261.0,617.0,293.0,INVOICE       NO.:       476          DATE:       26       Nov       85,invoice_info,"To       the       completion       of       one       third       of       the       Residential       Home          Studies,       namely       the       12       homes       in       the       Boston       area.          Final       Reports       on       these       12       homes       are       available       at       this          time.       However,       we       understand       from       the       Tobacco       Institute          that       all       reports       are       to       be       submitted       together       when       all          36       homes       are       completed.",187.0,5,,0.0,-1,-1.0,0.0
74.0,318.0,412.0,334.0,YOUAneF-       Mr.       R.F.       Gertenbach       -       Special       Project       #134,other,Residential       Air       Quality       Study,60.5,4,,0.0,-1,60.5,0.0
221.0,378.0,413.0,395.0,Residential       Air       Quality       Study,positions,"To       the       completion       of       one       third       of       the       Residential       Home          Studies,       namely       the       12       homes       in       the       Boston       area.          Final       Reports       on       these       12       homes       are       available       at       this          time.       However,       we       understand       from       the       Tobacco       Institute          that       all       reports       are       to       be       submitted       together       when       all          36       homes       are       completed.",77.5,5,,0.0,-1,77.5,0.0
136.0,416.0,503.0,512.0,"To       the       completion       of       one       third       of       the       Residential       Home          Studies,       namely       the       12       homes       in       the       Boston       area.          Final       Reports       on       these       12       homes       are       available       at       this          time.       However,       we       understand       from       the       Tobacco       Institute          that       all       reports       are       to       be       submitted       together       when       all          36       homes       are       completed.",positions,"Since       we       cannot       proceed       with       the       next       24       homes       until          the       Tobacco       Institute       submits       the       addresses,       we       request          payment       on       the       first       one       third       of       the       contract.",79.5,6,,0.0,-1,79.5,0.0
136.0,522.0,496.0,565.0,"Since       we       cannot       proceed       with       the       next       24       homes       until          the       Tobacco       Institute       submits       the       addresses,       we       request          payment       on       the       first       one       third       of       the       contract.",positions,Total       price       (one       third       of       Project)       now       due       for       payment          Yours       faithfully.          For       ACVA       Atlantic       Inc.,64.0,7,,0.0,-1,64.0,0.0
133.0,573.0,493.0,642.0,Total       price       (one       third       of       Project)       now       due       for       payment          Yours       faithfully.          For       ACVA       Atlantic       Inc.,other,Gray       Robertson,69.0,8,"$       4,600.00",305.5,9,69.0,305.5
319.0,669.0,414.0,684.0,Gray       Robertson,other,Owdc       #       and       DaW          Appro       v«d       for       Pcy.nunt          Approved       at       to       Ca»vaiy.          Voucher       Numc«r_       .—          Accsi/nJ       ai.d       fit!o          'liVulliiOM       Verified       ■,92.0,10,,0.0,-1,92.0,0.0
586.0,574.0,651.0,588.0,"$       4,600.00",positions,CTR       SP-FILES       025078,370.0,11,,0.0,-1,-1.0,0.0
267.0,729.0,379.0,808.0,Owdc       #       and       DaW          Appro       v«d       for       Pcy.nunt          Approved       at       to       Ca»vaiy.          Voucher       Numc«r_       .—          Accsi/nJ       ai.d       fit!o          'liVulliiOM       Verified       ■,other,CTR       SP-FILES       025078,182.5,11,,0.0,-1,182.5,0.0
370.0,938.0,673.0,964.0,CTR       SP-FILES       025078,other,11025096,41.0,12,,0.0,-1,41.0,0.0
337.0,985.0,402.0,999.0,11025096,other,,0.0,-1,,0.0,-1,0.0,0.0
