xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
202.0,108.0,530.0,122.0,POLITICAL       CAMPAIGN       CONTRIBUTION       REQUEST,other,State       or       Local:       state,51.5,2,,0.0,-1,51.5,0.0
53.0,163.0,235.0,178.0,"Date:       October       24,       1994",invoice_info,Name:          Address:,81.0,4,State       or       Local:       state,375.5,2,81.0,375.5
427.0,160.0,612.0,173.0,State       or       Local:       state,invoice_info,RECIPIENT       INFORMATION,41.0,3,,0.0,-1,41.0,0.0
274.0,201.0,457.0,214.0,RECIPIENT       INFORMATION,other,ocrats       '94,28.5,6,,0.0,-1,28.5,0.0
48.0,231.0,121.0,272.0,Name:          Address:,receiver,Current       Office          and       District:          Aspired       Office          and       District:          Party          Leadership       Position:          Committees:,128.5,5,ocrats       '94,219.0,6,128.5,219.0
48.0,311.0,221.0,449.0,Current       Office          and       District:          Aspired       Office          and       District:          Party          Leadership       Position:          Committees:,receiver,CONTRIBUTION       INFORMATION          Amount:       $500.00       Account       Code:       1401-7710-FL01          Check       Pay       to:       Democrats       '94          Address:          (Only       if       different       from       address       above)          Notes:          (Date       needed;       fundraiser       date;       other       information)          ce       President's       signature)          (Senior       Vice       President's       signature),258.5,9,Democrat          n/a          n/a,134.0,8,-1.0,134.0
260.0,230.0,347.0,242.0,ocrats       '94,receiver,"Florida       Democratic       Party          P.O.       Box       1758          Tallahassee,       FL       32302",40.0,7,,0.0,-1,40.0,0.0
231.0,255.0,440.0,297.0,"Florida       Democratic       Party          P.O.       Box       1758          Tallahassee,       FL       32302",receiver,Democrat          n/a          n/a,138.5,8,,0.0,-1,138.5,0.0
231.0,380.0,306.0,449.0,Democrat          n/a          n/a,receiver,CONTRIBUTION       INFORMATION          Amount:       $500.00       Account       Code:       1401-7710-FL01          Check       Pay       to:       Democrats       '94          Address:          (Only       if       different       from       address       above)          Notes:          (Date       needed;       fundraiser       date;       other       information)          ce       President's       signature)          (Senior       Vice       President's       signature),224.0,9,,0.0,-1,224.0,0.0
50.0,487.0,667.0,790.0,CONTRIBUTION       INFORMATION          Amount:       $500.00       Account       Code:       1401-7710-FL01          Check       Pay       to:       Democrats       '94          Address:          (Only       if       different       from       address       above)          Notes:          (Date       needed;       fundraiser       date;       other       information)          ce       President's       signature)          (Senior       Vice       President's       signature),other,"T-M,          (Regional       Vi",75.5,11,,0.0,-1,75.5,0.0
47.0,706.0,152.0,723.0,Approved       by:,other,,0.0,-1,"T-M,          (Regional       Vi",182.5,11,0.0,182.5
232.0,694.0,332.0,734.0,"T-M,          (Regional       Vi",other,,0.0,-1,CONTRIBUTION       INFORMATION          Amount:       $500.00       Account       Code:       1401-7710-FL01          Check       Pay       to:       Democrats       '94          Address:          (Only       if       different       from       address       above)          Notes:          (Date       needed;       fundraiser       date;       other       information)          ce       President's       signature)          (Senior       Vice       President's       signature),76.5,9,0.0,76.5
640.0,963.0,724.0,977.0,Til       631-0260,other,,0.0,-1,,0.0,-1,0.0,0.0
