xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
247.0,30.0,593.0,45.0,RECAPITULATION       OF       ADVERTISING       COSTS,other,Barron's       Advertisement       -       .       '          ■       ■       *       ■       ■■       V       l       .       1,34.0,1,,0.0,-1,34.0,0.0
127.0,59.0,618.0,84.0,Barron's       Advertisement       -       .       '          ■       ■       *       ■       ■■       V       l       .       1,positions,Newspaper       space          Newspaper       Production       costs          Magazine       space          Magazine       Production       costs          Research       Study       (questionnaire)          Extra       Proofs,87.0,2,,0.0,-1,87.0,0.0
146.0,106.0,441.0,211.0,Newspaper       space          Newspaper       Production       costs          Magazine       space          Magazine       Production       costs          Research       Study       (questionnaire)          Extra       Proofs,positions,"Total       Cost       $540,335.74          Less       amt.       rec.       from       Lorillard       50,000.00",94.5,4,"$421,902.09          12,717.77          98,786.57          826.81          6,000.00          102.50",284.0,3,-1.0,284.0
524.0,106.0,631.0,212.0,"$421,902.09          12,717.77          98,786.57          826.81          6,000.00          102.50",positions,"Total       Cost       $540,335.74          Less       amt.       rec.       from       Lorillard       50,000.00",94.0,4,,0.0,-1,94.0,0.0
185.0,235.0,629.0,271.0,"Total       Cost       $540,335.74          Less       amt.       rec.       from       Lorillard       50,000.00",total,"Total       cost       for       4-company       participation       $490,335.74",46.0,5,,0.0,-1,46.0,0.0
126.0,291.0,629.0,307.0,"Total       cost       for       4-company       participation       $490,335.74",total,"True       Advertisement       -          ■       ■       ■       ■       ■—          Newspaper       space       $       66,194.58          Production       costs       1,112.14          Total       cost       for       3-company       participation       $       67,306.72",103.0,6,,0.0,-1,103.0,0.0
123.0,346.0,628.0,458.0,"True       Advertisement       -          ■       ■       ■       ■       ■—          Newspaper       space       $       66,194.58          Production       costs       1,112.14          Total       cost       for       3-company       participation       $       67,306.72",positions,Brown       &       Williamson       Tobacco       Corporation,135.0,7,,0.0,-1,135.0,0.0
130.0,528.0,502.0,546.0,Brown       &       Williamson       Tobacco       Corporation,positions,"$105,765.41          101,527.54",42.0,9,,0.0,-1,42.0,0.0
129.0,564.0,435.0,597.0,Barron's       Advertisement       -       21.57%          Paid       to       date,positions,Amount       still       due          True       Advertisement       -       24.69%          Paid       to       date          Amount       still       due,90.0,10,"$105,765.41          101,527.54",244.5,9,90.0,244.5
473.0,563.0,580.0,595.0,"$105,765.41          101,527.54",positions,"$16,618.06          16,459.16",89.0,11,,0.0,-1,89.0,0.0
129.0,618.0,396.0,723.0,Amount       still       due          True       Advertisement       -       24.69%          Paid       to       date          Amount       still       due,positions,Total       now       due       Tiderock       Corporation,97.5,14,"$16,618.06          16,459.16",259.0,11,97.5,259.0
473.0,652.0,570.0,684.0,"$16,618.06          16,459.16",positions,"TIMN       0071430          ""713816",175.5,17,,0.0,-1,-1.0,0.0
619.0,616.0,705.0,631.0,"$4,237.87",total,$       158.90,90.0,13,,0.0,-1,90.0,0.0
619.0,705.0,706.0,722.0,$       158.90,positions,"$4,396.77",53.0,15,,0.0,-1,53.0,0.0
129.0,760.0,463.0,776.0,Total       now       due       Tiderock       Corporation,total,CONFIDENTIAL:          MINNESOTA       TOBACCO       LITIGATION,75.5,16,"$4,396.77",366.0,15,75.5,366.0
619.0,759.0,705.0,774.0,"$4,396.77",total,"TIMN       0071430          ""713816",77.0,17,,0.0,-1,77.0,0.0
108.0,823.0,418.0,864.0,CONFIDENTIAL:          MINNESOTA       TOBACCO       LITIGATION,other,,0.0,-1,"TIMN       0071430          ""713816",364.5,17,0.0,364.5
529.0,807.0,726.0,880.0,"TIMN       0071430          ""713816",other,,0.0,-1,,0.0,-1,0.0,0.0
